Feature,Estimator,AUC,AUC_best,Accuracy,Accuracy_best,F1,F1_best,Precision,Precision_best,Recall,Recall_best
age : max_hr : exercise_induced_angina,svc,0,0,0.727471264367816,"{'C': 1000, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}",0,0,0,0,0,0
age : max_hr : exercise_induced_angina,decision_tree,0,0,0.6164367816091955,"{'max_features': 'auto', 'max_leaf_nodes': 25, 'max_depth': 25}",0,0,0,0,0,0
age : max_hr : exercise_induced_angina,random_forest,0,0,0.6602298850574713,"{'max_features': 'sqrt', 'max_leaf_nodes': 10, 'bootstrap': True, 'max_depth': 15}",0,0,0,0,0,0
age : max_hr : st_depression,linear,0,0,0.23906983214323155,{'normalize': True},0,0,0,0,0,0
age : max_hr : st_depression,knn,0,0,0.7241379310344829,"{'n_neighbors': 10, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}",0,0,0,0,0,0
age : max_hr : st_depression,logistic,0,0,0.7405747126436782,"{'penalty': 'l1', 'solver': 'liblinear'}",0,0,0,0,0,0
age : max_hr : st_depression,gaussian,0,0,0.7306896551724139,{},0,0,0,0,0,0
age : max_hr : st_depression,svc,0,0,0.7240229885057472,"{'C': 10, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}",0,0,0,0,0,0
age : max_hr : st_depression,decision_tree,0,0,0.6532183908045976,"{'max_features': None, 'max_leaf_nodes': 5, 'max_depth': 5}",0,0,0,0,0,0
age : max_hr : st_depression,random_forest,0,0,0.697471264367816,"{'max_features': None, 'max_leaf_nodes': 5, 'bootstrap': True, 'max_depth': 15}",0,0,0,0,0,0
age : max_hr : num_major_vessels,linear,0,0,0.2844693088725788,{'normalize': True},0,0,0,0,0,0
age : max_hr : num_major_vessels,knn,0,0,0.7416091954022989,"{'n_neighbors': 40, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}",0,0,0,0,0,0
age : max_hr : num_major_vessels,logistic,0,0,0.751264367816092,"{'penalty': 'l1', 'solver': 'lbfgs'}",0,0,0,0,0,0
age : max_hr : num_major_vessels,gaussian,0,0,0.7342528735632183,{},0,0,0,0,0,0
age : max_hr : num_major_vessels,svc,0,0,0.7545977011494253,"{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}",0,0,0,0,0,0
age : max_hr : num_major_vessels,decision_tree,0,0,0.653448275862069,"{'max_features': 'sqrt', 'max_leaf_nodes': 2, 'max_depth': 20}",0,0,0,0,0,0
age : max_hr : num_major_vessels,random_forest,0,0,0.6942528735632184,"{'max_features': 'auto', 'max_leaf_nodes': 15, 'bootstrap': True, 'max_depth': 1}",0,0,0,0,0,0
age : max_hr : thal,linear,0,0,0.3404240609435445,{'normalize': True},0,0,0,0,0,0
age : max_hr : thal,knn,0,0,0.7341379310344828,"{'n_neighbors': 20, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}",0,0,0,0,0,0
age : max_hr : thal,logistic,0,0,0.7639080459770116,"{'penalty': 'l1', 'solver': 'liblinear'}",0,0,0,0,0,0
age : max_hr : thal,gaussian,0,0,0.7741379310344828,{},0,0,0,0,0,0
age : max_hr : thal,svc,0,0,0.7608045977011495,"{'C': 10, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}",0,0,0,0,0,0
age : max_hr : thal,decision_tree,0,0,0.6601149425287356,"{'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}",0,0,0,0,0,0
age : max_hr : thal,random_forest,0,0,0.6902298850574714,"{'max_features': 'log2', 'max_leaf_nodes': 20, 'bootstrap': True, 'max_depth': 1}",0,0,0,0,0,0
age : exercise_induced_angina : st_depression,linear,0,0,0.2641986317243411,{'normalize': True},0,0,0,0,0,0
age : exercise_induced_angina : st_depression,knn,0,0,0.6974712643678161,"{'n_neighbors': 50, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}",0,0,0,0,0,0
age : exercise_induced_angina : st_depression,logistic,0,0,0.7341379310344828,"{'penalty': 'l1', 'solver': 'liblinear'}",0,0,0,0,0,0
age : exercise_induced_angina : st_depression,gaussian,0,0,0.7441379310344828,{},0,0,0,0,0,0
age : exercise_induced_angina : st_depression,svc,0,0,0.7172413793103449,"{'C': 1, 'shrinking': False, 'gamma': 0.0, 'degree': 1, 'probability': True}",0,0,0,0,0,0
age : exercise_induced_angina : st_depression,decision_tree,0,0,0.6198850574712644,"{'max_features': 'auto', 'max_leaf_nodes': 15, 'max_depth': 30}",0,0,0,0,0,0
age : exercise_induced_angina : st_depression,random_forest,0,0,0.6733333333333332,"{'max_features': 'auto', 'max_leaf_nodes': 30, 'bootstrap': True, 'max_depth': 1}",0,0,0,0,0,0
age : exercise_induced_angina : num_major_vessels,linear,0,0,0.31728120807798393,{'normalize': True},0,0,0,0,0,0
age : exercise_induced_angina : num_major_vessels,knn,0,0,0.7173563218390806,"{'n_neighbors': 30, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}",0,0,0,0,0,0
age : exercise_induced_angina : num_major_vessels,logistic,0,0,0.757816091954023,"{'penalty': 'l1', 'solver': 'lbfgs'}",0,0,0,0,0,0
age : exercise_induced_angina : num_major_vessels,gaussian,0,0,0.7444827586206897,{},0,0,0,0,0,0
age : exercise_induced_angina : num_major_vessels,svc,0,0,0.7748275862068966,"{'C': 1000, 'shrinking': True, 'gamma': 0.0001, 'degree': 1, 'probability': True}",0,0,0,0,0,0
